0olaycolay.thevinki-name|Da Vinki
olaycolay.thevinki-description|Juega como un adolescente angustiado que usa zapatos para grindar por los rieles y que pinta grafitis para vengarse de Cinco Guijarros.
THE VINKI|DA VINKI
The Vinki|Da Vinki
Vinki|Vinki
Play as an angsty teen wearing rail-grinding shoes and spraying graffiti to enact revenge on 5P.|Juega como un adolescente angustiado que usa zapatos para grindar<LINE>por los rieles y que pinta grafitis para vengarse de Cinco Guijarros.
Grind|Grindar
Toggle Grind|Act./des. grinds
Graffiti Mode|Modo grafitis
Spray Graffiti|Pintar grafitis
Craft Spray Can|Fabricar aerosoles
Tag Creatures|Rociar a criaturas
SELECT GRAFFITI|ELEGIR GRAFITI
QUEST MAP|OBJETIVOS
View graffiti quest objectives and progress|Ver el mapa de objetivos y el progreso de la misión de grafitis
New graffiti unlocked: |Nuevo grafiti desbloqueado: 
Were you even listening to me? It appears to me that you find painting in my chamber more interesting than my words, I suppose. I would appreciate it if you did not interrupt me in the future, little friend.|¿Siquiera estabas escuchándome? Me parece que encuentras pintar en mi cámara más interesante<LINE>que mis palabras, supongo. Te agradecería que no me interrumpieras en el futuro, amiguito.
Little creature... I asked you to please not interrupt me. I know you love art, but could you settle down and listen for a moment?|Pequeña criatura... te pedí que, por favor, no me interrumpieras.<LINE>Sé que amas el arte, pero ¿podrías tranquilizarte y escucharme por un momento?
And now you are painting again...|Y ahora estás pintando otra vez...
Am I boring you, little creature?|¿Te estoy aburriendo, pequeña criatura?
You are not the most attentive creature, are you?|No eres la criatura más atenta, ¿verdad?
Ah... I would appreciate you not painting over my chamber walls. Feel free to do so outside of it, but I require clear walls to project holographic graphs over. Your art, as beautiful as it is, might distort them.|Ah... te agradecería que no pintaras por las paredes de mi cámara. Siéntete libre de hacerlo por la parte de afuera,<LINE>es solo que las necesito limpias para poder proyectar holografías. Tu arte, por muy hermoso que sea, podría distorsionarlos.
I already told you to not paint over my chamber walls. I'm sure you can find plenty of significantly better canvas outside of my chamber, and I don't want to have to destroy your hard work, so please do so outside.|Ya te dije que no pintaras sobre las paredes de mi cámara. Estoy segura de que puedes encontrar suficientes y mejores<LINE>lienzos fuera, y no quiero tener que destruir tu arduo trabajo, así que, por favor, hazlo afuera.
Are you ignoring my request on purpose? Please paint outside.|¿Estás ignorando adrede mi solicitud? Por favor, pinta afuera.
Little friend, I truly need my walls clean for my systems to work correctly. Please stop.|Amiguito, en serio, necesito mis paredes limpias para que mis sistemas funcionen correctamente. Por favor, para.
You are wasting your materials. Your paintings cannot stay here. Please listen.|Estás desperdiciando tus materiales. Tus pinturas no pueden quedarse aquí. Por favor, escucha.
As for what I was saying before you rudely interrupted me...|Con respecto a lo que estaba diciendo antes de que me interrumpieras groseramente...
Incredible. Thank you.|Increíble. Gracias.
As I was saying...|Con respecto a lo que estaba diciendo...
...|...
...Ah. I see you did not appreciate my gift for you.|... Ah. Veo que no te agradó mi regalo.
